,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,user_session,user_response,user_id,database_id
0,0.327,0.686,10,-11.835,0,0.161,0.163,0.194,0.948,0.631,172.79,1,1,0,5bb7ac8a0c27ee4c381dd70a
1,0.659,0.588,6,-9.262,0,0.03,0.413,0.159,0.112,0.561,143.021,1,0,0,5bb7ac8a0c27ee4c381dd70d
2,0.333,0.0797,10,-14.597,1,0.036,0.97,0.0,0.112,0.221,176.535,1,0,0,5bb7ac930c27ee4c381dd9c7
3,0.367,0.769,9,-7.258,1,0.0317,0.00032,0.628,0.0631,0.7,173.186,1,1,0,5bb7ac8a0c27ee4c381dd703
4,0.443,0.851,7,-3.809,1,0.218,0.0856,0.0,0.499,0.693,170.346,1,1,0,5bb7ac9a0c27ee4c381ddbab
5,0.403,0.888,7,-3.382,0,0.0413,0.056,0.00161,0.0682,0.391,176.483,1,1,0,5bb7ac980c27ee4c381ddb12
6,0.518,0.954,11,-4.531,0,0.0389,0.101,0.471,0.0919,0.689,179.918,1,1,0,5bb7ac920c27ee4c381dd967
7,0.421,0.822,2,-4.415,1,0.0542,0.0132,0.0,0.092,0.751,171.935,1,0,0,5bb7ac8f0c27ee4c381dd87a
8,0.248,0.993,11,-4.907,1,0.189,5.66e-05,0.0209,0.0978,0.0998,184.934,1,0,0,5bb7ac8c0c27ee4c381dd7aa
9,0.569,0.761,5,-6.071,0,0.475,0.261,6.71e-06,0.0748,0.325,180.122,1,0,0,5bb7ac910c27ee4c381dd90a
10,0.38,0.942,11,-4.001,0,0.0749,0.00189,0.00963,0.115,0.287,167.962,1,0,0,5bb7ac8f0c27ee4c381dd88e
11,0.392,0.936,5,-6.532,1,0.0849,0.000221,0.839,0.407,0.564,167.333,1,1,0,5bb7ac900c27ee4c381dd8bf
12,0.545,0.8,0,-7.972,1,0.248,0.753,1.45e-06,0.334,0.961,166.31,1,0,0,5bb7ac930c27ee4c381dd9c8
13,0.288,0.864,4,-6.762,0,0.0673,0.0172,0.0567,0.541,0.621,162.233,1,1,0,5bb7ac910c27ee4c381dd901
14,0.685,0.696,8,-4.288,1,0.0321,0.432,0.0,0.127,0.65,160.017,1,0,0,5bb7ac980c27ee4c381ddb0a
15,0.44,0.943,1,-2.194,1,0.0413,6.62e-05,0.00143,0.189,0.837,161.05,1,1,0,5bb7ac930c27ee4c381dd99f
16,0.188,0.952,0,-4.499,1,0.201,0.00138,0.000856,0.381,0.152,155.973,1,1,0,5bb7ac8e0c27ee4c381dd82e
17,0.428,0.556,1,-4.967,1,0.0407,0.659,0.0,0.115,0.162,150.732,1,0,0,5bb7ac930c27ee4c381dd9da
18,0.548,0.297,0,-9.214,1,0.0359,0.731,1.21e-06,0.098,0.761,157.913,1,0,0,5bb7ac930c27ee4c381dd9cb
19,0.459,0.914,7,-12.723,1,0.102,0.0179,0.913,0.111,0.255,159.91,1,0,0,5bb7ac910c27ee4c381dd934
20,0.441,0.344,4,-9.799,1,0.0299,0.386,0.000277,0.917,0.111,87.588,1,0,0,5bb7ac890c27ee4c381dd69f
21,0.264,0.128,9,-15.443,1,0.034,0.885,0.352,0.105,0.0774,148.499,1,0,0,5bb7ac890c27ee4c381dd6a0
22,0.395,0.578,9,-7.728,0,0.039,0.47,0.0,0.171,0.689,166.227,1,0,0,5bb7ac8f0c27ee4c381dd85a
23,0.61,0.165,8,-14.659,1,0.0502,0.981,0.000544,0.134,0.258,102.68,1,1,0,5bb7ac890c27ee4c381dd6a1
24,0.276,0.191,9,-11.074,1,0.0286,0.914,1.66e-05,0.0988,0.215,99.663,1,0,0,5bb7ac8e0c27ee4c381dd844
25,0.617,0.497,5,-14.132,1,0.0471,0.53,0.00662,0.0767,0.809,105.943,1,0,0,5bb7ac930c27ee4c381dd9b7
