database_id,spotify_id,song_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5bb7ac890c27ee4c381dd69e,0bxllxzqkGNSKo8pHtZyA3,E.T.,https://p.scdn.co/mp3-preview/b010313e8fbd71b1de99b061e1f5fea75a4d29b4?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.626,0.457,8,-9.091,0,0.0339,0.0876,7.72E-05,0.0801,0.223,149.99
5bb7ac890c27ee4c381dd69f,362LzQDbfNdZDuv37BIEkG,Song For Zula - Live From Spotify London,https://p.scdn.co/mp3-preview/f85a3283dc9d614cd6052e2f6b0a308645ad1683?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.441,0.344,4,-9.799,1,0.0299,0.386,0.000277,0.917,0.111,87.588
5bb7ac890c27ee4c381dd6a0,3AqPL1n1wKc5DVFFnYuJhp,To Build A Home,https://p.scdn.co/mp3-preview/b39e590a07f73f930873ffbf4c49256d7feda3e4?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.264,0.128,9,-15.443,1,0.034,0.885,0.352,0.105,0.0774,148.499
5bb7ac890c27ee4c381dd6a1,7sDzAu7alAL1hWvL86tSGB,Sweater Weather - Spotify Sessions Curated by Jim Eno,https://p.scdn.co/mp3-preview/bed9e182c4c5af6bf19fdb81ea491c974d8fd6f1?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.61,0.165,8,-14.659,1,0.0502,0.981,0.000544,0.134,0.258,102.68
5bb7ac890c27ee4c381dd6a2,7LVHVU3tWfcxj5aiPFEW4Q,Fix You,https://p.scdn.co/mp3-preview/b1640815319b2df5ddfac27a28f016319a281468?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.209,0.418,3,-8.74,1,0.0338,0.163,0.00195,0.113,0.123,138.265
5bb7ac890c27ee4c381dd6a3,4fbvXwMTXPWaFyaMWUm9CR,Holocene,https://p.scdn.co/mp3-preview/a07bbe36e9ce8fc15114becac8876d3a20517cf2?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.375,0.304,1,-14.52,1,0.0302,0.943,0.303,0.126,0.147,147.989
5bb7ac890c27ee4c381dd6a4,0HHdujGjOZChTrl8lJWEIq,"Stop This Train - Live at the Nokia Theatre, Los Angeles, CA - December 2007",https://p.scdn.co/mp3-preview/e3028c3e6dce45fa9f786ceadad2e8cfafe28925?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.434,0.438,2,-14.67,1,0.0326,0.598,0.000181,0.826,0.367,92.001
5bb7ac890c27ee4c381dd6a5,0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister",https://p.scdn.co/mp3-preview/b6393162ba6857ed9954230a0f2a2f1c3cab0883?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.675,0.885,1,-4.432,0,0.0436,0.217,0,0.086,0.768,97.03
5bb7ac890c27ee4c381dd6a6,7A3GfM7fY6OLwAy9VofHMl,Wonderwall,https://p.scdn.co/mp3-preview/dfc78cc3bf9b177191a4f545859fd49fcc5b7263?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.736,0.27,8,-11.192,0,0.0334,0.775,0.0454,0.0851,0.365,118.017
5bb7ac890c27ee4c381dd6a7,7utRJ4BeYx85khzP3lKoBX,Tears In Heaven,https://p.scdn.co/mp3-preview/5877b4a58dcd66cf9953dab2618cfc8dbaace3c4?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744
5bb7ac890c27ee4c381dd6a8,3U4isOIWM3VvDubwSI3y7a,All of Me,https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93
5bb7ac890c27ee4c381dd6a9,5XPSElbh3y0S1Jl0ggpwQr,Somebody That I Used to Know,https://p.scdn.co/mp3-preview/5faeb30b434e225645ce4181c0d1795a5718a464?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.594,0.433,1,-7.347,0,0.0334,0.0402,0,0.104,0.202,128.918
5bb7ac890c27ee4c381dd6aa,0DtokGY2f0bi701NhGFpda,Water No Get Enemy,https://p.scdn.co/mp3-preview/d4151150111fdd270598f93d6dcf36d961d66fcc?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.646,0.927,10,-7.568,0,0.0535,0.134,0.0508,0.0979,0.898,90.871
5bb7ac890c27ee4c381dd6ab,2c6Ah6OH4ScnjniS0t5gTH,I Love U,https://p.scdn.co/mp3-preview/d26c3359b39b5eab5ec543bd9ffd1c9cfcdb53aa?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.585,0.694,10,-6.6,1,0.18,0.335,0,0.593,0.927,97.971
5bb7ac890c27ee4c381dd6ac,0tjRxRv1JonYbxX0RD1Smw,Karolina,https://p.scdn.co/mp3-preview/6cf707dbf4493b534e97b892f9b4206c7e4c1660?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.637,0.977,4,-3.083,1,0.0494,0.0862,0,0.15,0.942,120.009
5bb7ac890c27ee4c381dd6ad,3nveCkQZqGC2Q0ltx3Vekr,Zinabu,https://p.scdn.co/mp3-preview/6ff6935828f91c790dbaaf19d9a9e7f2935fbb2b?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.766,0.754,1,-10.713,1,0.088,0.0338,0.179,0.213,0.83,133.507
5bb7ac890c27ee4c381dd6ae,3CwGtCMsLZfkcdBGrufgk2,Breakthrough,https://p.scdn.co/mp3-preview/1a8de7768b1416cb78b60c4febb8c2fed6ab6e3b?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.571,0.836,10,-6.906,0,0.215,0.597,0.0108,0.106,0.526,93.641
5bb7ac890c27ee4c381dd6af,0TRBu0g6CThm4ZwLLgEeV8,Tchamantché,https://p.scdn.co/mp3-preview/6d09c25682fc28f46b5afc7e7d91e634cdb7dd5b?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.711,0.355,9,-15.222,0,0.0875,0.921,9.35E-06,0.0775,0.937,124.079
5bb7ac890c27ee4c381dd6b0,3YlkOxWW57K0OpL7ZVVGqj,Beautiful Onyinye,https://p.scdn.co/mp3-preview/11ed430cd323cfb8e3d967e3a5505602592f8b04?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.709,0.793,6,-4.725,0,0.057,0.687,8.11E-06,0.123,0.896,99.96
5bb7ac890c27ee4c381dd6b1,6XWr8TOIRFl29jTluMfCDJ,Naija Baby,https://p.scdn.co/mp3-preview/93757cd5c713dd4746fc4bc2a86c35196be00674?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.74,0.831,7,-9.232,1,0.0569,0.143,0.000463,0.13,0.95,130.017
